id;name;suhu;kelembaban;cahaya;keran;date
1602;syarif;28;95;00.34;52.04.00;04/08/20 11.31
1603;syarif;28;95;00.29;50.95;04/08/20 11.31
1604;syarif;28;95;00.29;50.95;04/08/20 11.32
1605;syarif;28;95;00.34;52.04.00;04/08/20 11.32
1606;syarif;28;95;00.39;52.35.00;04/08/20 11.32
1607;syarif;28;95;00.39;52.35.00;04/08/20 11.32
1608;syarif;28;95;00.39;52.35.00;04/08/20 11.33
1609;syarif;28;95;00.34;52.04.00;04/08/20 11.33
1610;syarif;28;95;00.34;52.04.00;04/08/20 11.33
1611;syarif;28;95;00.39;52.35.00;04/08/20 11.33
1612;syarif;28;95;00.34;52.04.00;04/08/20 11.34
1613;syarif;28;95;00.34;52.04.00;04/08/20 11.34
1614;syarif;27;95;00.34;50.07.00;04/08/20 11.34
1615;syarif;27;95;00.34;50.07.00;04/08/20 11.34
1616;syarif;27;95;00.34;50.07.00;04/08/20 11.35
1617;syarif;27;95;00.34;50.07.00;04/08/20 11.35
1618;syarif;27;95;00.39;50.08.00;04/08/20 11.35
1619;syarif;27;95;00.39;50.08.00;04/08/20 11.35
1620;syarif;27;95;00.39;50.08.00;04/08/20 11.36
1621;syarif;27;95;00.39;50.08.00;04/08/20 11.36
1622;syarif;27;95;00.34;50.07.00;04/08/20 11.36
1623;syarif;27;95;00.39;50.08.00;04/08/20 11.36
1624;syarif;27;95;00.39;50.08.00;04/08/20 11.37
1625;syarif;27;95;00.34;50.07.00;04/08/20 11.37
1626;syarif;27;95;00.39;50.08.00;04/08/20 11.37
1627;syarif;27;95;00.39;50.08.00;04/08/20 11.38
1628;syarif;27;95;00.39;50.08.00;04/08/20 11.38
1629;syarif;27;95;00.25;49.81;04/08/20 11.38
1630;syarif;27;95;00.25;49.81;04/08/20 11.38
1631;syarif;27;95;00.29;51.32.00;04/08/20 11.39
1632;syarif;27;95;00.25;49.81;04/08/20 11.39
1633;syarif;27;95;00.34;50.07.00;04/08/20 11.39
1634;syarif;27;95;00.25;49.81;04/08/20 11.39
1635;syarif;27;95;00.25;49.81;04/08/20 11.40
1636;syarif;27;95;00.25;49.81;04/08/20 11.40
